Southwestern Pork Stew,Calories,Fats (g),Carbs (g),Fiber (g),Net Carbs (g),Protein (g)
1 lb. Cooked Pork Shoulder,920.9,73.3,0.6,0.2,0.4,60.6
2 tbsp. Olive Oil,240,28,0,0,0,0
2 tsp. Chili Powder,16,1,3,2,1,1
2 tsp. Cumin,16,1,2,1,1,1
1 tsp. Minced Garlic,5,0,1,0,1,0
1/2 tsp. Salt,0,0,0,0,0,0
1/2 tsp. Pepper,2,0,0,0,0,0
1 tsp. Paprika,6,0,1,1,0,0
1 tsp. Oregano,3,0,1,0,1,0
1/4 tsp. Cinnamon,2,0,0,0,0,0
2 Bay Leafs,2,0,0,0,0,0
6 oz. Button Mushrooms,37,1,6,2,4,5
1/2 sliced Jalapeno,2,0,0,0,0,0
1/2 medium Onion,23,0,6,1,5,1
"1/2 Green Bell Pepper, sliced",12,0.1,3,1,2,0.5
"1/2 Red Bell Pepper, sliced",12,0.1,3,1,2,0.5
Juice 1/2 Lime (to finish),5,0,1,0,1,0
2 cups Gelatinous Bone Broth,160,9,0,0,0,8
2 cup Chicken Broth,30,2,1,0,1,0
1/2 cup Strong Coffee,1,0,0,0,0,0
1/4 cup Tomato Paste,50,0,10,4,6,2
Totals,1544.9,115.5,38.6,13.2,25.4,79.6
Per Serving ( /4 ),386.2,28.9,9.7,3.3,6.4,19.9
